bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,lat,long,neighborhood_avg_sqft,sqft_lot15,sale_year,yr_since_renovated,log_price,is_renovated,house_age,house_age_bin,basement_ratio,above_ratio,lot_living_ratio
3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,98178,47.5112,-122.257,1340,5650,2014,,12.309986615445005,0,59,50–100 yrs,0.0,1.0,4.788135593220339
3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,98125,47.721,-122.319,1690,7639,2014,23.0,13.195615697878253,1,63,50–100 yrs,0.1556420233463035,0.8443579766536965,2.817898832684825
2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,98028,47.7379,-122.233,2720,8062,2015,,12.100717685412471,0,82,50–100 yrs,0.0,1.0,12.987012987012987
4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,98136,47.5208,-122.393,1360,5000,2014,,13.311331132544721,0,49,20–50 yrs,0.4642857142857143,0.5357142857142857,2.5510204081632653
3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,98074,47.6168,-122.045,1800,7503,2015,,13.1421679654829,0,28,20–50 yrs,0.0,1.0,4.809523809523809
4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,2001,98053,47.6561,-122.005,4760,101930,2014,,14.018452218287162,0,13,<20 yrs,0.2822878228782288,0.7177121771217713,18.80627306273063
3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,98003,47.3097,-122.327,2238,6819,2014,,12.458778882573533,0,19,<20 yrs,0.0,1.0,3.9760932944606413
3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,98198,47.4095,-122.315,1650,9711,2015,,12.583998677043747,0,52,50–100 yrs,0.0,1.0,9.16132075471698
3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,98146,47.5123,-122.337,1780,8113,2015,,12.343662665771719,0,55,50–100 yrs,0.4101123595505618,0.5898876404494382,4.196629213483146
3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,98038,47.3684,-122.031,2390,7570,2015,,12.685410698175234,0,12,<20 yrs,0.0,1.0,3.4708994708994707
3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,98007,47.6007,-122.145,2210,8925,2015,,13.403777346275337,0,50,20–50 yrs,0.47752808988764045,0.5224719101123596,2.751685393258427
2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,98115,47.69,-122.292,1330,6000,2014,,13.056225711649638,0,72,50–100 yrs,0.25862068965517243,0.7413793103448276,5.172413793103448
3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,98028,47.7558,-122.229,1780,12697,2014,,12.644330802262578,0,87,50–100 yrs,0.0,1.0,13.916783216783216
3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,98074,47.6127,-122.045,1370,10208,2014,,12.899222326086994,0,37,20–50 yrs,0.0,1.0,7.065693430656935
5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,98107,47.67,-122.394,1360,4850,2015,,13.180634172318978,0,115,>100 yrs,0.0,1.0,2.679558011049724
4,3.0,2950,5000,2.0,0,3,3,9,1980,970,1979,98126,47.5714,-122.375,2140,4000,2015,,13.384729180332174,0,36,20–50 yrs,0.3288135593220339,0.6711864406779661,1.694915254237288
3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,98019,47.7277,-121.962,1890,14018,2014,,12.886643575525625,0,20,<20 yrs,0.0,1.0,7.428571428571429
4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,98103,47.6648,-122.343,1610,4300,2014,,13.091906231773164,0,98,50–100 yrs,0.0,1.0,2.6875
2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,98002,47.3089,-122.21,1060,5095,2014,,12.149507585033072,0,93,50–100 yrs,0.0,1.0,8.208333333333334
3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,98003,47.3343,-122.306,1280,8850,2015,,12.345838935721968,0,46,20–50 yrs,0.0,1.0,7.8192
4,1.75,1620,4980,1.0,0,0,4,7,860,760,1947,98133,47.7025,-122.341,1400,4980,2014,,12.861001210669146,0,67,50–100 yrs,0.4691358024691358,0.5308641975308642,3.074074074074074
3,2.75,3050,44867,1.0,0,4,3,9,2330,720,1968,98040,47.5316,-122.233,4110,20336,2014,,14.508658238524095,0,46,20–50 yrs,0.2360655737704918,0.7639344262295082,14.710491803278689
5,2.5,2270,6300,2.0,0,0,3,8,2270,0,1995,98092,47.3266,-122.169,2240,7005,2014,,12.560247968016562,0,19,<20 yrs,0.0,1.0,2.7753303964757707
2,1.5,1070,9643,1.0,0,0,3,7,1070,0,1985,98030,47.3533,-122.166,1220,8386,2014,,12.43996225063003,0,29,20–50 yrs,0.0,1.0,9.01214953271028
3,2.25,2450,6500,2.0,0,0,4,8,2450,0,1985,98030,47.3739,-122.172,2200,6865,2014,,12.703816069256568,0,29,20–50 yrs,0.0,1.0,2.6530612244897958
3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1941,98002,47.3048,-122.218,1030,4705,2014,,12.358798024384122,0,73,50–100 yrs,0.0,1.0,2.7467836257309943
3,1.75,2450,2691,2.0,0,0,3,8,1750,700,1915,98119,47.6386,-122.36,1760,3573,2014,,13.75043962845585,0,99,50–100 yrs,0.2857142857142857,0.7142857142857143,1.0983673469387756
3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1909,98112,47.6221,-122.314,1860,3861,2014,,13.410546824147012,0,105,>100 yrs,0.0,1.0,1.1292857142857142
3,1.75,1520,6380,1.0,0,0,3,7,790,730,1948,98115,47.695,-122.304,1520,6235,2014,,12.989976472461,0,66,50–100 yrs,0.48026315789473684,0.5197368421052632,4.197368421052632
4,2.5,2570,7173,2.0,0,0,3,8,2570,0,2005,98052,47.7073,-122.11,2630,6026,2015,,13.4856180275228,0,10,<20 yrs,0.0,1.0,2.7910505836575874
3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2003,98027,47.5391,-122.07,2580,3980,2014,,13.271646802771485,0,11,<20 yrs,0.0,1.0,1.7155172413793103
2,1.5,1190,1265,3.0,0,0,3,7,1190,0,2005,98133,47.7274,-122.357,1390,1756,2014,,12.54254845357358,0,9,<20 yrs,0.0,1.0,1.0630252100840336
4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,98117,47.6823,-122.368,1460,5000,2014,,13.44081856306726,0,85,50–100 yrs,0.351931330472103,0.648068669527897,2.1459227467811157
3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1929,98117,47.6889,-122.375,1570,5080,2014,,13.190023895035274,0,85,50–100 yrs,0.0,1.0,2.7522935779816513
4,2.75,2060,6659,1.0,0,0,3,7,1280,780,1981,98058,47.4276,-122.157,2020,8720,2014,,12.683861515988351,0,33,20–50 yrs,0.3786407766990291,0.6213592233009708,3.2325242718446603
3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,98115,47.6827,-122.31,1590,3264,2014,12.0,13.453106376097134,1,84,50–100 yrs,0.34347826086956523,0.6565217391304348,1.3304347826086957
4,1.0,1660,34848,1.0,0,0,1,5,930,730,1933,98052,47.6621,-122.132,2160,11467,2014,,13.217675375388819,0,81,50–100 yrs,0.4397590361445783,0.5602409638554217,20.99277108433735
